!SIL 1.0	SIL
<UNK> 1.0	SPN
zamda 1.0	z a m d a
zamfara 1.0	z a m f a r a
zamora 1.0	z a m o r a
zamora(2) 1.0	z e m o r e
zamoyoni 1.0	z a m o y o n i
zamu 1.0	z a m u
zamunda 1.0	z a m u DD a
zamzam 1.0	z a m z a m
zamzam(4) 1.0	z a m z a m u
zan 1.0	z a n
zan(2) 1.0	z a n
zan(4) 1.0	z a n i
zana 1.0	z a n a
zanaco 1.0	z a n a k o
zanahati 1.0	z a n a h a t i
zanaki 1.0	z a n a k i
zane 1.0	z a n e
zanele 1.0	z a n e l e
zanetti 1.0	z a n e t t i
zangu 1.0	z a GG u
zanguni 1.0	z a GG u n i
zantel 1.0	z a n t e l
zantel(4) 1.0	z a n t e l i
zanu 1.0	z a n u
zanzabar 1.0	z a ZZ a b a r
zanzabar(4) 1.0	z a ZZ a b a r i
zanziba 1.0	z a ZZ i b a
zanzibar 1.0	z a ZZ i b a r
zanzibar(4) 1.0	z a ZZ i b a r i
zanzibari 1.0	z a ZZ i b a r i
zao 1.0	z a o
zap 1.0	z a p
zap(2) 1.0	z a p
zap(4) 1.0	z a p u
zapatero 1.0	z a p a t e r o
zara 1.0	z a r a
zarafi 1.0	z a r a f i
zaragoza 1.0	z a r a g o z a
zaragoza(2) 1.0	z a r a g o z e
zarau 1.0	z a r a u
zardari 1.0	z a r d a r i
zarina 1.0	z a r i n a
zarqawi 1.0	z a r k a w i
zawadi 1.0	z a w a d i
zaweza 1.0	z a w e z a
zayumba 1.0	z a y u BB a
zctu 1.0	z k t u
zctu(3) 1.0	z i s i t i y u
ze 1.0	z e
zealand 1.0	z e a l a DD
zealand(2) 1.0	z i l e n d
zealand(4) 1.0	z e a l a DD i
zebaki 1.0	z e b a k i
zebedayo 1.0	z e b e d a y o
zec 1.0	z e k
zec(4) 1.0	z e k i
zee 1.0	z e e
zee(2) 1.0	z i
zege 1.0	z e g e
zeituni 1.0	z e i t u n i
zelothe 1.0	z e l o TT e
zembe 1.0	z e BB e
zena 1.0	z e n a
zenani 1.0	z e n a n i
zenawi 1.0	z e n a w i
zengine 1.0	z e GG i n e
zengwe 1.0	z e GG w e
zenit 1.0	z e n i t
zenit(4) 1.0	z e n i t i
zenj 1.0	z e JJ
zenj(4) 1.0	z e JJ i
zenji 1.0	z e JJ i
zenu 1.0	z e n u
zenye 1.0	z e n y e
zenyewe 1.0	z e n y e w e
zephania 1.0	z e f a n i a
zero 1.0	z e r o
zeruzeru 1.0	z e r u z e r u
zesco 1.0	z e s k o
zetu 1.0	z e t u
zeze 1.0	z e z e
zfa 1.0	z f a
zfa(3) 1.0	z i e f e
zhang 1.0	z h a GG
zhang(2) 1.0	j a GG
zhang(4) 1.0	z h a GG i
zhar 1.0	z h a r
zhar(3) 1.0	z i e j e a r
zhar(4) 1.0	z h a r i
zhejiang 1.0	z h e j i a GG
zhejiang(2) 1.0	j i j a GG
zhejiang(4) 1.0	z h e j i a GG i
zhilai 1.0	z h i l a i
zhirkov 1.0	z h i r k o v
zhirkov(4) 1.0	z h i r k o v u
zhong 1.0	z h o GG
zhong(4) 1.0	z h o GG i
zhou 1.0	z h o u
zhou(2) 1.0	z u
zhou(3) 1.0	z i e j o y u
zhu 1.0	z h u
zhu(2) 1.0	z u
zhu(3) 1.0	z i e j y u
zi 1.0	z i
zia 1.0	z i a
zia(2) 1.0	z i e
ziache 1.0	z i a CC e
ziachwe 1.0	z i a CC w e
ziada 1.0	z i a d a
ziadi 1.0	z i a d i
ziandaliwe 1.0	z i a DD a l i w e
ziandikwe 1.0	z i a DD i k w e
ziangalie 1.0	z i a GG a l i e
ziangaliwe 1.0	z i a GG a l i w e
ziani 1.0	z i a n i
zianze 1.0	z i a ZZ e
zianzishwe 1.0	z i a ZZ i SS w e
ziara 1.0	z i a r a
ziarani 1.0	z i a r a n i
zibadilike 1.0	z i b a d i l i k e
zibadilishwe 1.0	z i b a d i l i SS w e
zibaki 1.0	z i b a k i
ziboreshwe 1.0	z i b o r e SS w e
zichangie 1.0	z i CC a GG i e
zicheze 1.0	z i CC e z e
zichukue 1.0	z i CC u k u e
zichukuliwe 1.0	z i CC u k u l i w e
zico 1.0	z i k o
zico(2) 1.0	z i k o
zidan 1.0	z i d a n
zidan(4) 1.0	z i d a n i
zidane 1.0	z i d a n e
zidi 1.0	z i d i
zidisha 1.0	z i d i SS a
zidumu 1.0	z i d u m u
ziegler 1.0	z i e g l e r
ziegler(2) 1.0	z i g l e r
ziegler(4) 1.0	z i e g l e r i
zielekezwe 1.0	z i e l e k e z w e
ziendane 1.0	z i e DD a n e
ziendazo 1.0	z i e DD a z o
ziende 1.0	z i e DD e
ziendelee 1.0	z i e DD e l e e
ziendeshwe 1.0	z i e DD e SS w e
zifaazo 1.0	z i f a a z o
zifanye 1.0	z i f a n y e
zifanyike 1.0	z i f a n y i k e
zifanyiwe 1.0	z i f a n y i w e
zifanywe 1.0	z i f a n y w e
ziff 1.0	z i f f
ziff(2) 1.0	z i f
ziff(3) 1.0	z i a y e f e f
ziff(4) 1.0	z i f f u
zifike 1.0	z i f i k e
zifikie 1.0	z i f i k i e
zifuatazo 1.0	z i f u a t a z o
zifuate 1.0	z i f u a t e
zifuatwe 1.0	z i f u a t w e
zifungwe 1.0	z i f u GG w e
zifutwe 1.0	z i f u t w e
zigawanywe 1.0	z i g a w a n y w e
zigiranyirazo 1.0	z i g i r a n y i r a z o
zigo 1.0	z i g o
zihakikishe 1.0	z i h a k i k i SS e
zihakikiwe 1.0	z i h a k i k i w e
zihesabiwe 1.0	z i h e s a b i w e
ziheshimiwe 1.0	z i h e SS i m i w e
zihusuzo 1.0	z i h u s u z o
ziige 1.0	z i i g e
ziingie 1.0	z i i GG i e
ziingizwe 1.0	z i i GG i z w e
ziishe 1.0	z i i SS e
ziitwazo 1.0	z i i t w a z o
ziive 1.0	z i i v e
zijadiliwe 1.0	z i j a d i l i w e
zijazo 1.0	z i j a z o
zije 1.0	z i j e
zijenge 1.0	z i j e GG e
zijengwe 1.0	z i j e GG w e
zijiandae 1.0	z i j i a DD a e
zijulikanazo 1.0	z i j u l i k a n a z o
zijulikane 1.0	z i j u l i k a n e
zikaanza 1.0	z i k a a ZZ a
zikabidhiwe 1.0	z i k a b i LL i w e
zikachukuliwa 1.0	z i k a CC u k u l i w a
zikae 1.0	z i k a e
zikaelekezwa 1.0	z i k a e l e k e z w a
zikaenda 1.0	z i k a e DD a
zikaendelea 1.0	z i k a e DD e l e a
zikafanya 1.0	z i k a f a n y a
zikaguliwe 1.0	z i k a g u l i w e
zikaibuka 1.0	z i k a i b u k a
zikaingia 1.0	z i k a i GG i a
zikaishia 1.0	z i k a i SS i a
zikaja 1.0	z i k a j a
zikamilike 1.0	z i k a m i l i k e
zikaonekana 1.0	z i k a o n e k a n a
zikapatikana 1.0	z i k a p a t i k a n a
zikapelekwa 1.0	z i k a p e l e k w a
zikapigwa 1.0	z i k a p i g w a
zikashindwa 1.0	z i k a SS i DD w a
zikatoka 1.0	z i k a t o k a
zikatolewa 1.0	z i k a t o l e w a
zikatumika 1.0	z i k a t u m i k a
zikawa 1.0	z i k a w a
zikiachwa 1.0	z i k i a CC w a
zikiambatana 1.0	z i k i a BB a t a n a
zikiandaliwa 1.0	z i k i a DD a l i w a
zikiandikwa 1.0	z i k i a DD i k w a
zikianza 1.0	z i k i a ZZ a
zikibadilika 1.0	z i k i b a d i l i k a
zikibaki 1.0	z i k i b a k i
zikibeba 1.0	z i k i b e b a
zikichangia 1.0	z i k i CC a GG i a
zikichelewa 1.0	z i k i CC e l e w a
zikicheza 1.0	z i k i CC e z a
zikichezwa 1.0	z i k i CC e z w a
zikichomwa 1.0	z i k i CC o m w a
zikichukua 1.0	z i k i CC u k u a
zikichukuliwa 1.0	z i k i CC u k u l i w a
zikidai 1.0	z i k i d a i
zikidaiwa 1.0	z i k i d a i w a
zikielekea 1.0	z i k i e l e k e a
zikielekezwa 1.0	z i k i e l e k e z w a
zikieleza 1.0	z i k i e l e z a
zikielezea 1.0	z i k i e l e z e a
zikienda 1.0	z i k i e DD a
zikiendelea 1.0	z i k i e DD e l e a
zikiendesha 1.0	z i k i e DD e SS a
zikiendeshwa 1.0	z i k i e DD e SS w a
zikifanana 1.0	z i k i f a n a n a
zikifanya 1.0	z i k i f a n y a
zikifanyika 1.0	z i k i f a n y i k a
zikifanyiwa 1.0	z i k i f a n y i w a
zikifanywa 1.0	z i k i f a n y w a
zikifika 1.0	z i k i f i k a
zikifuata 1.0	z i k i f u a t a
zikifuatiwa 1.0	z i k i f u a t i w a
zikifuatwa 1.0	z i k i f u a t w a
zikifungwa 1.0	z i k i f u GG w a
zikigonga 1.0	z i k i g o GG a
zikigubikwa 1.0	z i k i g u b i k w a
zikiharibika 1.0	z i k i h a r i b i k a
zikihitaji 1.0	z i k i h i t a j i
zikihusisha 1.0	z i k i h u s i SS a
zikihusishwa 1.0	z i k i h u s i SS w a
zikiibuka 1.0	z i k i i b u k a
zikiibwa 1.0	z i k i i b w a
zikiimbwa 1.0	z i k i i BB w a
zikiingia 1.0	z i k i i GG i a
zikiingizwa 1.0	z i k i i GG i z w a
zikiisha 1.0	z i k i i SS a
zikiishia 1.0	z i k i i SS i a
zikija 1.0	z i k i j a
zikijadiliwa 1.0	z i k i j a d i l i w a
zikijaribu 1.0	z i k i j a r i b u
zikijengwa 1.0	z i k i j e GG w a
zikijitahidi 1.0	z i k i j i t a h i d i
zikijitokeza 1.0	z i k i j i t o k e z a
zikikabiliwa 1.0	z i k i k a b i l i w a
zikikamilika 1.0	z i k i k a m i l i k a
zikikaribia 1.0	z i k i k a r i b i a
zikikosa 1.0	z i k i k o s a
zikikumbwa 1.0	z i k i k u BB w a
zikikusanywa 1.0	z i k i k u s a n y w a
zikikutana 1.0	z i k i k u t a n a
zikilalamikia 1.0	z i k i l a l a m i k i a
zikilalamikiwa 1.0	z i k i l a l a m i k i w a
zikilenga 1.0	z i k i l e GG a
zikileta 1.0	z i k i l e t a
zikilinganishwa 1.0	z i k i l i GG a n i SS w a
zikilipwa 1.0	z i k i l i p w a
zikimalizika 1.0	z i k i m a l i z i k a
zikimhusisha 1.0	z i k i m h u s i SS a
zikimilikiwa 1.0	z i k i m i l i k i w a
zikimkabili 1.0	z i k i m k a b i l i
zikinyesha 1.0	z i k i n y e SS a
zikiomba 1.0	z i k i o BB a
zikionekana 1.0	z i k i o n e k a n a
zikionesha 1.0	z i k i o n e SS a
zikiongezeka 1.0	z i k i o GG e z e k a
zikiongoza 1.0	z i k i o GG o z a
zikiongozwa 1.0	z i k i o GG o z w a
zikionyesha 1.0	z i k i o n y e SS a
zikipamba 1.0	z i k i p a BB a
zikipambana 1.0	z i k i p a BB a n a
zikipanda 1.0	z i k i p a DD a
zikipata 1.0	z i k i p a t a
zikipatikana 1.0	z i k i p a t i k a n a
zikipelekwa 1.0	z i k i p e l e k w a
zikipewa 1.0	z i k i p e w a
zikipiga 1.0	z i k i p i g a
zikipigana 1.0	z i k i p i g a n a
zikipigiwa 1.0	z i k i p i g i w a
zikipigwa 1.0	z i k i p i g w a
zikipinga 1.0	z i k i p i GG a
zikipingana 1.0	z i k i p i GG a n a
zikipita 1.0	z i k i p i t a
zikipitishwa 1.0	z i k i p i t i SS w a
zikipotea 1.0	z i k i p o t e a
zikipoteza 1.0	z i k i p o t e z a
zikipungua 1.0	z i k i p u GG u a
zikirindima 1.0	z i k i r i DD i m a
zikiripotiwa 1.0	z i k i r i p o t i w a
zikirushwa 1.0	z i k i r u SS w a
zikisababisha 1.0	z i k i s a b a b i SS a
zikisababishwa 1.0	z i k i s a b a b i SS w a
zikisafirishwa 1.0	z i k i s a f i r i SS w a
zikisaidia 1.0	z i k i s a i d i a
zikisaka 1.0	z i k i s a k a
zikisambazwa 1.0	z i k i s a BB a z w a
zikisema 1.0	z i k i s e m a
zikishambuliana 1.0	z i k i SS a BB u l i a n a
zikishika 1.0	z i k i SS i k a
zikishinda 1.0	z i k i SS i DD a
zikishindwa 1.0	z i k i SS i DD w a
zikishiriki 1.0	z i k i SS i r i k i
zikishirikiana 1.0	z i k i SS i r i k i a n a
zikishuka 1.0	z i k i SS u k a
zikisikika 1.0	z i k i s i k i k a
zikisimamiwa 1.0	z i k i s i m a m i w a
zikisonga 1.0	z i k i s o GG a
zikisubiri 1.0	z i k i s u b i r i
zikitafunwa 1.0	z i k i t a f u n w a
zikitaka 1.0	z i k i t a k a
zikitangaza 1.0	z i k i t a GG a z a
zikitangazwa 1.0	z i k i t a GG a z w a
zikitarajiwa 1.0	z i k i t a r a j i w a
zikitawala 1.0	z i k i t a w a l a
zikitawaliwa 1.0	z i k i t a w a l i w a
zikitegemea 1.0	z i k i t e g e m e a
zikitekeleza 1.0	z i k i t e k e l e z a
zikiteketea 1.0	z i k i t e k e t e a
zikitengwa 1.0	z i k i t e GG w a
zikitoa 1.0	z i k i t o a
zikitofautiana 1.0	z i k i t o f a u t i a n a
zikitoka 1.0	z i k i t o k a
zikitokana 1.0	z i k i t o k a n a
zikitokea 1.0	z i k i t o k e a
zikitolewa 1.0	z i k i t o l e w a
zikitozwa 1.0	z i k i t o z w a
zikitumia 1.0	z i k i t u m i a
zikitumika 1.0	z i k i t u m i k a
zikitumiwa 1.0	z i k i t u m i w a
zikitupwa 1.0	z i k i t u p w a
zikiungana 1.0	z i k i u GG a n a
zikiunganishwa 1.0	z i k i u GG a n i SS w a
zikiuzwa 1.0	z i k i u z w a
zikiwa 1.0	z i k i w a
zikiwahusisha 1.0	z i k i w a h u s i SS a
zikiwakabili 1.0	z i k i w a k a b i l i
zikiwamo 1.0	z i k i w a m o
zikiwania 1.0	z i k i w a n i a
zikiwanufaisha 1.0	z i k i w a n u f a i SS a
zikiwapo 1.0	z i k i w a p o
zikiwataka 1.0	z i k i w a t a k a
zikiweka 1.0	z i k i w e k a
zikiwekwa 1.0	z i k i w e k w a
zikiwemo 1.0	z i k i w e m o
zikiwepo 1.0	z i k i w e p o
zikizidi 1.0	z i k i z i d i
ziko 1.0	z i k o
zikoje 1.0	z i k o j e
ziku 1.0	z i k u
zikubalike 1.0	z i k u b a l i k e
zikutane 1.0	z i k u t a n e
zile 1.0	z i l e
zilenge 1.0	z i l e GG e
zilete 1.0	z i l e t e
zilezile 1.0	z i l e z i l e
ziliachwa 1.0	z i l i a CC w a
ziliahidi 1.0	z i l i a h i d i
ziliambatana 1.0	z i l i a BB a t a n a
ziliamua 1.0	z i l i a m u a
ziliandaliwa 1.0	z i l i a DD a l i w a
ziliandikwa 1.0	z i l i a DD i k w a
zilianguka 1.0	z i l i a GG u k a
zilianza 1.0	z i l i a ZZ a
zilianzia 1.0	z i l i a ZZ i a
zilianzisha 1.0	z i l i a ZZ i SS a
zilianzishwa 1.0	z i l i a ZZ i SS w a
ziliathiriwa 1.0	z i l i a TT i r i w a
zilibadilika 1.0	z i l i b a d i l i k a
zilibaini 1.0	z i l i b a i n i
zilibainika 1.0	z i l i b a i n i k a
zilibainisha 1.0	z i l i b a i n i SS a
zilibaki 1.0	z i l i b a k i
zilibakia 1.0	z i l i b a k i a
zilibomoka 1.0	z i l i b o m o k a
zilibomolewa 1.0	z i l i b o m o l e w a
zilichaguliwa 1.0	z i l i CC a g u l i w a
zilichangia 1.0	z i l i CC a GG i a
zilichangwa 1.0	z i l i CC a GG w a
zilichapishwa 1.0	z i l i CC a p i SS w a
zilichelewa 1.0	z i l i CC e l e w a
zilicheza 1.0	z i l i CC e z a
zilichezwa 1.0	z i l i CC e z w a
zilichomwa 1.0	z i l i CC o m w a
zilichotwa 1.0	z i l i CC o t w a
zilichukua 1.0	z i l i CC u k u a
zilichukuliwa 1.0	z i l i CC u k u l i w a
zilidai 1.0	z i l i d a i
zilidaiwa 1.0	z i l i d a i w a
zilidokeza 1.0	z i l i d o k e z a
zilidumu 1.0	z i l i d u m u
zilielekezwa 1.0	z i l i e l e k e z w a
zilieleza 1.0	z i l i e l e z a
zilielezea 1.0	z i l i e l e z e a
zilielezwa 1.0	z i l i e l e z w a
zilienda 1.0	z i l i e DD a
ziliendelea 1.0	z i l i e DD e l e a
ziliendeshwa 1.0	z i l i e DD e SS w a
zilienea 1.0	z i l i e n e a
zilifafanua 1.0	z i l i f a f a n u a
zilifanikisha 1.0	z i l i f a n i k i SS a
zilifanikiwa 1.0	z i l i f a n i k i w a
zilifanya 1.0	z i l i f a n y a
zilifanyika 1.0	z i l i f a n y i k a
zilifanyiwa 1.0	z i l i f a n y i w a
zilifanywa 1.0	z i l i f a n y w a
zilifika 1.0	z i l i f i k a
zilifikia 1.0	z i l i f i k i a
zilifikishwa 1.0	z i l i f i k i SS w a
zilifuata 1.0	z i l i f u a t a
zilifuatwa 1.0	z i l i f u a t w a
zilifungana 1.0	z i l i f u GG a n a
zilifunguliwa 1.0	z i l i f u GG u l i w a
zilifungwa 1.0	z i l i f u GG w a
zilifutwa 1.0	z i l i f u t w a
ziligawanywa 1.0	z i l i g a w a n y w a
ziligawiwa 1.0	z i l i g a w i w a
ziligeuka 1.0	z i l i g e u k a
ziligonga 1.0	z i l i g o GG a
ziligubikwa 1.0	z i l i g u b i k w a
ziligunduliwa 1.0	z i l i g u DD u l i w a
ziligusa 1.0	z i l i g u s a
ziliharibika 1.0	z i l i h a r i b i k a
ziliharibiwa 1.0	z i l i h a r i b i w a
zilihitaji 1.0	z i l i h i t a j i
zilihitajika 1.0	z i l i h i t a j i k a
zilihudhuriwa 1.0	z i l i h u LL u r i w a
zilihusisha 1.0	z i l i h u s i SS a
zilihusishwa 1.0	z i l i h u s i SS w a
zilihusu 1.0	z i l i h u s u
ziliibiwa 1.0	z i l i i b i w a
ziliibuka 1.0	z i l i i b u k a
ziliibuliwa 1.0	z i l i i b u l i w a
ziliibwa 1.0	z i l i i b w a
ziliidhinishwa 1.0	z i l i i LL i n i SS w a
ziliingia 1.0	z i l i i GG i a
ziliingiza 1.0	z i l i i GG i z a
ziliingizwa 1.0	z i l i i GG i z w a
ziliisha 1.0	z i l i i SS a
ziliishia 1.0	z i l i i SS i a
zilijaa 1.0	z i l i j a a
zilijadiliwa 1.0	z i l i j a d i l i w a
zilijengwa 1.0	z i l i j e GG w a
zilijikita 1.0	z i l i j i k i t a
zilijikuta 1.0	z i l i j i k u t a
zilijitokeza 1.0	z i l i j i t o k e z a
zilikabidhiwa 1.0	z i l i k a b i LL i w a
zilikamatwa 1.0	z i l i k a m a t w a
zilikanushwa 1.0	z i l i k a n u SS w a
zilikataa 1.0	z i l i k a t a a
zilikataliwa 1.0	z i l i k a t a l i w a
zilikiukwa 1.0	z i l i k i u k w a
ziliko 1.0	z i l i k o
zilikopwa 1.0	z i l i k o p w a
zilikosa 1.0	z i l i k o s a
zilikotoka 1.0	z i l i k o t o k a
zilikua 1.0	z i l i k u a
zilikubali 1.0	z i l i k u b a l i
zilikubaliana 1.0	z i l i k u b a l i a n a
zilikuja 1.0	z i l i k u j a
zilikusanywa 1.0	z i l i k u s a n y w a
zilikutana 1.0	z i l i k u t a n a
zilikutwa 1.0	z i l i k u t w a
zilikuwa 1.0	z i l i k u w a
zilikuwapo 1.0	z i l i k u w a p o
zilikuwepo 1.0	z i l i k u w e p o
zilikwama 1.0	z i l i k w a m a
zilikwenda 1.0	z i l i k w e DD a
zilikwisha 1.0	z i l i k w i SS a
zililazimika 1.0	z i l i l a z i m i k a
zililenga 1.0	z i l i l e GG a
zilileta 1.0	z i l i l e t a
zililetwa 1.0	z i l i l e t w a
zililipuka 1.0	z i l i l i p u k a
zililipwa 1.0	z i l i l i p w a
zilimaliza 1.0	z i l i m a l i z a
zilimalizika 1.0	z i l i m a l i z i k a
zilimfanya 1.0	z i l i m f a n y a
zilimfikia 1.0	z i l i m f i k i a
zilina 1.0	z i l i n a
zilingane 1.0	z i l i GG a n e
zilinunuliwa 1.0	z i l i n u n u l i w a
zilinyesha 1.0	z i l i n y e SS a
ziliokotwa 1.0	z i l i o k o t w a
ziliomba 1.0	z i l i o BB a
ziliombwa 1.0	z i l i o BB w a
ziliondolewa 1.0	z i l i o DD o l e w a
zilionekana 1.0	z i l i o n e k a n a
zilionesha 1.0	z i l i o n e SS a
ziliongeza 1.0	z i l i o GG e z a
ziliongezeka 1.0	z i l i o GG e z e k a
ziliongezwa 1.0	z i l i o GG e z w a
ziliongoza 1.0	z i l i o GG o z a
ziliongozwa 1.0	z i l i o GG o z w a
zilionyesha 1.0	z i l i o n y e SS a
zilionyeshwa 1.0	z i l i o n y e SS w a
ziliopita 1.0	z i l i o p i t a
zilipambana 1.0	z i l i p a BB a n a
zilipambwa 1.0	z i l i p a BB w a
zilipanda 1.0	z i l i p a DD a
zilipandwa 1.0	z i l i p a DD w a
zilipangwa 1.0	z i l i p a GG w a
zilipaswa 1.0	z i l i p a s w a
zilipata 1.0	z i l i p a t a
zilipatikana 1.0	z i l i p a t i k a n a
zilipelekea 1.0	z i l i p e l e k e a
zilipelekwa 1.0	z i l i p e l e k w a
zilipendwa 1.0	z i l i p e DD w a
zilipewa 1.0	z i l i p e w a
zilipiga 1.0	z i l i p i g a
zilipigana 1.0	z i l i p i g a n a
zilipigwa 1.0	z i l i p i g w a
zilipinga 1.0	z i l i p i GG a
zilipingwa 1.0	z i l i p i GG w a
zilipita 1.0	z i l i p i t a
zilipitia 1.0	z i l i p i t i a
zilipitisha 1.0	z i l i p i t i SS a
zilipitishwa 1.0	z i l i p i t i SS w a
zilipo 1.0	z i l i p o
zilipoanza 1.0	z i l i p o a ZZ a
zilipofanyika 1.0	z i l i p o f a n y i k a
zilipofika 1.0	z i l i p o f i k a
zilipofunguliwa 1.0	z i l i p o f u GG u l i w a
zilipoibuka 1.0	z i l i p o i b u k a
zilipokelewa 1.0	z i l i p o k e l e w a
zilipokewa 1.0	z i l i p o k e w a
zilipokutana 1.0	z i l i p o k u t a n a
zilipokuwa 1.0	z i l i p o k u w a
ziliporudiana 1.0	z i l i p o r u d i a n a
ziliporwa 1.0	z i l i p o r w a
zilipotea 1.0	z i l i p o t e a
zilipotoka 1.0	z i l i p o t o k a
zilipungua 1.0	z i l i p u GG u a
zilipunguza 1.0	z i l i p u GG u z a
zilipwe 1.0	z i l i p w e
zilirejea 1.0	z i l i r e j e a
zilirejeshwa 1.0	z i l i r e j e SS w a
ziliridhia 1.0	z i l i r i LL i a
ziliripotiwa 1.0	z i l i r i p o t i w a
zilirudishwa 1.0	z i l i r u d i SS w a
zilisababisha 1.0	z i l i s a b a b i SS a
zilisababishwa 1.0	z i l i s a b a b i SS w a
zilisafirishwa 1.0	z i l i s a f i r i SS w a
zilisaidia 1.0	z i l i s a i d i a
zilisaini 1.0	z i l i s a i n i
zilisainiwa 1.0	z i l i s a i n i w a
zilisambaa 1.0	z i l i s a BB a a
zilisambazwa 1.0	z i l i s a BB a z w a
zilisema 1.0	z i l i s e m a
zilishaanza 1.0	z i l i SS a a ZZ a
zilishambuliana 1.0	z i l i SS a BB u l i a n a
zilishawahi 1.0	z i l i SS a w a h i
zilishika 1.0	z i l i SS i k a
zilishindikana 1.0	z i l i SS i DD i k a n a
zilishindwa 1.0	z i l i SS i DD w a
zilishiriki 1.0	z i l i SS i r i k i
zilishirikisha 1.0	z i l i SS i r i k i SS a
zilishuhudia 1.0	z i l i SS u h u d i a
zilishuka 1.0	z i l i SS u k a
zilisikika 1.0	z i l i s i k i k a
zilisimama 1.0	z i l i s i m a m a
zilisitishwa 1.0	z i l i s i t i SS w a
zilistahili 1.0	z i l i s t a h i l i
zilitajwa 1.0	z i l i t a j w a
zilitaka 1.0	z i l i t a k a
zilitakiwa 1.0	z i l i t a k i w a
zilitangaza 1.0	z i l i t a GG a z a
zilitangazwa 1.0	z i l i t a GG a z w a
zilitarajiwa 1.0	z i l i t a r a j i w a
zilitawala 1.0	z i l i t a w a l a
zilitawaliwa 1.0	z i l i t a w a l i w a
ziliteketea 1.0	z i l i t e k e t e a
ziliteketezwa 1.0	z i l i t e k e t e z w a
zilitengenezwa 1.0	z i l i t e GG e n e z w a
zilitengwa 1.0	z i l i t e GG w a
zilithibitisha 1.0	z i l i TT i b i t i SS a
zilithibitishwa 1.0	z i l i TT i b i t i SS w a
zilitia 1.0	z i l i t i a
zilitoa 1.0	z i l i t o a
zilitoka 1.0	z i l i t o k a
zilitokana 1.0	z i l i t o k a n a
zilitokea 1.0	z i l i t o k e a
zilitolewa 1.0	z i l i t o l e w a
zilitosha 1.0	z i l i t o SS a
zilitoshana 1.0	z i l i t o SS a n a
zilitumia 1.0	z i l i t u m i a
zilitumika 1.0	z i l i t u m i k a
zilitumiwa 1.0	z i l i t u m i w a
zilitumwa 1.0	z i l i t u m w a
zilitungwa 1.0	z i l i t u GG w a
zilitupwa 1.0	z i l i t u p w a
ziliunda 1.0	z i l i u DD a
ziliundwa 1.0	z i l i u DD w a
ziliungana 1.0	z i l i u GG a n a
ziliungwa 1.0	z i l i u GG w a
ziliuzwa 1.0	z i l i u z w a
zilivuja 1.0	z i l i v u j a
zilivuma 1.0	z i l i v u m a
zilivyo 1.0	z i l i v y o
zilivyoainishwa 1.0	z i l i v y o a i n i SS w a
zilivyoanza 1.0	z i l i v y o a ZZ a
zilivyofanya 1.0	z i l i v y o f a n y a
zilivyokuwa 1.0	z i l i v y o k u w a
zilivyokwenda 1.0	z i l i v y o k w e DD a
zilivyopangwa 1.0	z i l i v y o p a GG w a
zilivyotolewa 1.0	z i l i v y o t o l e w a
zilivyotumika 1.0	z i l i v y o t u m i k a
zilivyozidi 1.0	z i l i v y o z i d i
ziliwafanya 1.0	z i l i w a f a n y a
ziliwahi 1.0	z i l i w a h i
ziliwapa 1.0	z i l i w a p a
ziliwasili 1.0	z i l i w a s i l i
ziliwasilishwa 1.0	z i l i w a s i l i SS w a
ziliweka 1.0	z i l i w e k a
ziliwekwa 1.0	z i l i w e k w a
ziliweza 1.0	z i l i w e z a
ziliyeyuka 1.0	z i l i y e y u k a
zilizaa 1.0	z i l i z a a
zilizalishwa 1.0	z i l i z a l i SS w a
zilizidi 1.0	z i l i z i d i
zilizimwa 1.0	z i l i z i m w a
zilizinduliwa 1.0	z i l i z i DD u l i w a
zilizo 1.0	z i l i z o
zilizoachwa 1.0	z i l i z o a CC w a
zilizoagizwa 1.0	z i l i z o a g i z w a
zilizoahidiwa 1.0	z i l i z o a h i d i w a
zilizoainishwa 1.0	z i l i z o a i n i SS w a
zilizoalikwa 1.0	z i l i z o a l i k w a
zilizoambatana 1.0	z i l i z o a BB a t a n a
zilizoamua 1.0	z i l i z o a m u a
zilizoandaliwa 1.0	z i l i z o a DD a l i w a
zilizoandikwa 1.0	z i l i z o a DD i k w a
zilizoanza 1.0	z i l i z o a ZZ a
zilizoanzishwa 1.0	z i l i z o a ZZ i SS w a
zilizoathirika 1.0	z i l i z o a TT i r i k a
zilizoathiriwa 1.0	z i l i z o a TT i r i w a
zilizobainika 1.0	z i l i z o b a i n i k a
zilizobainishwa 1.0	z i l i z o b a i n i SS w a
zilizobaki 1.0	z i l i z o b a k i
zilizobakia 1.0	z i l i z o b a k i a
zilizobeba 1.0	z i l i z o b e b a
zilizobomoka 1.0	z i l i z o b o m o k a
zilizoboreshwa 1.0	z i l i z o b o r e SS w a
zilizobuniwa 1.0	z i l i z o b u n i w a
zilizochaguliwa 1.0	z i l i z o CC a g u l i w a
zilizochakaa 1.0	z i l i z o CC a k a a
zilizochanganywa 1.0	z i l i z o CC a GG a n y w a
zilizochangia 1.0	z i l i z o CC a GG i a
zilizochangwa 1.0	z i l i z o CC a GG w a
zilizochapishwa 1.0	z i l i z o CC a p i SS w a
zilizocheza 1.0	z i l i z o CC e z a
zilizochezwa 1.0	z i l i z o CC e z w a
zilizochomwa 1.0	z i l i z o CC o m w a
